timestep,graph,community,previous_community,score,pcid
21,DiGraph with 641 nodes and 518 edges,231,131.0,0.8915,126
22,DiGraph with 1763 nodes and 1537 edges,48,231.0,0.8355,126
20,DiGraph with 900 nodes and 613 edges,132,,1.0,127
21,DiGraph with 641 nodes and 518 edges,220,132.0,0.8818,127
22,DiGraph with 1763 nodes and 1537 edges,219,220.0,0.9855,127
20,DiGraph with 900 nodes and 613 edges,133,,1.0,128
20,DiGraph with 900 nodes and 613 edges,134,,1.0,129
20,DiGraph with 900 nodes and 613 edges,135,,1.0,130
21,DiGraph with 641 nodes and 518 edges,95,135.0,0.9857,130
22,DiGraph with 1763 nodes and 1537 edges,487,95.0,0.9954,130
20,DiGraph with 900 nodes and 613 edges,136,,1.0,131
20,DiGraph with 900 nodes and 613 edges,137,,1.0,132
21,DiGraph with 641 nodes and 518 edges,163,137.0,0.9105,132
22,DiGraph with 1763 nodes and 1537 edges,227,163.0,0.953,132
20,DiGraph with 900 nodes and 613 edges,138,,1.0,133
20,DiGraph with 900 nodes and 613 edges,139,,1.0,134
21,DiGraph with 641 nodes and 518 edges,198,139.0,0.9634,134
22,DiGraph with 1763 nodes and 1537 edges,272,198.0,0.9626,134
20,DiGraph with 900 nodes and 613 edges,140,,1.0,135
20,DiGraph with 900 nodes and 613 edges,141,,1.0,136
21,DiGraph with 641 nodes and 518 edges,5,141.0,0.8081,136
22,DiGraph with 1763 nodes and 1537 edges,341,5.0,0.9416,136
20,DiGraph with 900 nodes and 613 edges,142,,1.0,137
21,DiGraph with 641 nodes and 518 edges,41,142.0,0.7037,137
22,DiGraph with 1763 nodes and 1537 edges,195,41.0,0.791,137
23,DiGraph with 1187 nodes and 1046 edges,120,195.0,0.8768,137
24,DiGraph with 1126 nodes and 961 edges,132,120.0,0.8673,137
20,DiGraph with 900 nodes and 613 edges,143,,1.0,138
21,DiGraph with 641 nodes and 518 edges,85,143.0,0.8525,138
20,DiGraph with 900 nodes and 613 edges,144,,1.0,139
20,DiGraph with 900 nodes and 613 edges,145,,1.0,140
20,DiGraph with 900 nodes and 613 edges,146,,1.0,141
21,DiGraph with 641 nodes and 518 edges,165,146.0,0.758,141
20,DiGraph with 900 nodes and 613 edges,147,,1.0,142
21,DiGraph with 641 nodes and 518 edges,58,147.0,0.9419,142
20,DiGraph with 900 nodes and 613 edges,148,,1.0,143
20,DiGraph with 900 nodes and 613 edges,149,,1.0,144
20,DiGraph with 900 nodes and 613 edges,150,,1.0,145
20,DiGraph with 900 nodes and 613 edges,151,,1.0,146
20,DiGraph with 900 nodes and 613 edges,152,,1.0,147
21,DiGraph with 641 nodes and 518 edges,117,152.0,0.7769,147
22,DiGraph with 1763 nodes and 1537 edges,375,117.0,0.9133,147
20,DiGraph with 900 nodes and 613 edges,153,,1.0,148
21,DiGraph with 641 nodes and 518 edges,44,153.0,0.8273,148
22,DiGraph with 1763 nodes and 1537 edges,128,44.0,0.8598,148
20,DiGraph with 900 nodes and 613 edges,154,,1.0,149
20,DiGraph with 900 nodes and 613 edges,155,,1.0,150
20,DiGraph with 900 nodes and 613 edges,156,,1.0,151
21,DiGraph with 641 nodes and 518 edges,177,156.0,0.846,151
22,DiGraph with 1763 nodes and 1537 edges,426,177.0,0.8169,151
23,DiGraph with 1187 nodes and 1046 edges,176,426.0,0.8766,151
20,DiGraph with 900 nodes and 613 edges,157,,1.0,152
20,DiGraph with 900 nodes and 613 edges,158,,1.0,153
20,DiGraph with 900 nodes and 613 edges,159,,1.0,154
20,DiGraph with 900 nodes and 613 edges,160,,1.0,155
20,DiGraph with 900 nodes and 613 edges,161,,1.0,156
21,DiGraph with 641 nodes and 518 edges,89,161.0,0.6885,156
22,DiGraph with 1763 nodes and 1537 edges,9,89.0,0.7515,156
20,DiGraph with 900 nodes and 613 edges,162,,1.0,157
20,DiGraph with 900 nodes and 613 edges,163,,1.0,158
21,DiGraph with 641 nodes and 518 edges,108,163.0,0.9324,158
20,DiGraph with 900 nodes and 613 edges,164,,1.0,159
21,DiGraph with 641 nodes and 518 edges,235,164.0,0.8703,159
22,DiGraph with 1763 nodes and 1537 edges,419,235.0,0.9548,159
23,DiGraph with 1187 nodes and 1046 edges,84,419.0,0.9521,159
20,DiGraph with 900 nodes and 613 edges,165,,1.0,160
20,DiGraph with 900 nodes and 613 edges,166,,1.0,161
21,DiGraph with 641 nodes and 518 edges,56,166.0,0.7892,161
22,DiGraph with 1763 nodes and 1537 edges,18,56.0,0.7525,161
23,DiGraph with 1187 nodes and 1046 edges,12,18.0,0.9186,161
24,DiGraph with 1126 nodes and 961 edges,17,12.0,0.908,161
20,DiGraph with 900 nodes and 613 edges,167,,1.0,162
20,DiGraph with 900 nodes and 613 edges,168,,1.0,163
20,DiGraph with 900 nodes and 613 edges,169,,1.0,164
20,DiGraph with 900 nodes and 613 edges,170,,1.0,165
21,DiGraph with 641 nodes and 518 edges,204,170.0,0.9711,165
22,DiGraph with 1763 nodes and 1537 edges,351,204.0,0.8294,165
20,DiGraph with 900 nodes and 613 edges,171,,1.0,166
21,DiGraph with 641 nodes and 518 edges,115,171.0,0.856,166
22,DiGraph with 1763 nodes and 1537 edges,49,115.0,0.9542,166
20,DiGraph with 900 nodes and 613 edges,172,,1.0,167
20,DiGraph with 900 nodes and 613 edges,173,,1.0,168
20,DiGraph with 900 nodes and 613 edges,174,,1.0,169
20,DiGraph with 900 nodes and 613 edges,175,,1.0,170
20,DiGraph with 900 nodes and 613 edges,176,,1.0,171
21,DiGraph with 641 nodes and 518 edges,21,176.0,0.7347,171
20,DiGraph with 900 nodes and 613 edges,177,,1.0,172
20,DiGraph with 900 nodes and 613 edges,178,,1.0,173
20,DiGraph with 900 nodes and 613 edges,179,,1.0,174
21,DiGraph with 641 nodes and 518 edges,59,179.0,0.7187,174
20,DiGraph with 900 nodes and 613 edges,180,,1.0,175
20,DiGraph with 900 nodes and 613 edges,181,,1.0,176
21,DiGraph with 641 nodes and 518 edges,187,181.0,0.7876,176
22,DiGraph with 1763 nodes and 1537 edges,57,187.0,0.8623,176
20,DiGraph with 900 nodes and 613 edges,182,,1.0,177
21,DiGraph with 641 nodes and 518 edges,31,182.0,0.9066,177
20,DiGraph with 900 nodes and 613 edges,183,,1.0,178
21,DiGraph with 641 nodes and 518 edges,10,183.0,0.7895,178
22,DiGraph with 1763 nodes and 1537 edges,459,10.0,0.9503,178
20,DiGraph with 900 nodes and 613 edges,184,,1.0,179
20,DiGraph with 900 nodes and 613 edges,185,,1.0,180
21,DiGraph with 641 nodes and 518 edges,32,185.0,0.7809,180
22,DiGraph with 1763 nodes and 1537 edges,355,32.0,0.8656,180
23,DiGraph with 1187 nodes and 1046 edges,38,355.0,0.9878,180
24,DiGraph with 1126 nodes and 961 edges,202,38.0,0.9674,180
20,DiGraph with 900 nodes and 613 edges,186,,1.0,181
20,DiGraph with 900 nodes and 613 edges,187,,1.0,182
21,DiGraph with 641 nodes and 518 edges,68,187.0,0.9445,182
22,DiGraph with 1763 nodes and 1537 edges,210,68.0,0.987,182
20,DiGraph with 900 nodes and 613 edges,188,,1.0,183
21,DiGraph with 641 nodes and 518 edges,174,188.0,0.9502,183
22,DiGraph with 1763 nodes and 1537 edges,388,174.0,0.9275,183
20,DiGraph with 900 nodes and 613 edges,189,,1.0,184
21,DiGraph with 641 nodes and 518 edges,215,189.0,0.9725,184
20,DiGraph with 900 nodes and 613 edges,190,,1.0,185
20,DiGraph with 900 nodes and 613 edges,191,,1.0,186
20,DiGraph with 900 nodes and 613 edges,192,,1.0,187
21,DiGraph with 641 nodes and 518 edges,184,192.0,0.7899,187
22,DiGraph with 1763 nodes and 1537 edges,348,184.0,0.9061,187
20,DiGraph with 900 nodes and 613 edges,193,,1.0,188
20,DiGraph with 900 nodes and 613 edges,194,,1.0,189
20,DiGraph with 900 nodes and 613 edges,195,,1.0,190
20,DiGraph with 900 nodes and 613 edges,196,,1.0,191
21,DiGraph with 641 nodes and 518 edges,96,196.0,0.6866,191
22,DiGraph with 1763 nodes and 1537 edges,467,96.0,0.8903,191
23,DiGraph with 1187 nodes and 1046 edges,132,467.0,0.6948,191
24,DiGraph with 1126 nodes and 961 edges,32,132.0,0.6647,191
20,DiGraph with 900 nodes and 613 edges,197,,1.0,192
20,DiGraph with 900 nodes and 613 edges,198,,1.0,193
20,DiGraph with 900 nodes and 613 edges,199,,1.0,194
21,DiGraph with 641 nodes and 518 edges,14,199.0,0.9103,194
20,DiGraph with 900 nodes and 613 edges,200,,1.0,195
20,DiGraph with 900 nodes and 613 edges,201,,1.0,196
20,DiGraph with 900 nodes and 613 edges,202,,1.0,197
21,DiGraph with 641 nodes and 518 edges,102,202.0,0.7419,197
20,DiGraph with 900 nodes and 613 edges,203,,1.0,198
20,DiGraph with 900 nodes and 613 edges,204,,1.0,199
20,DiGraph with 900 nodes and 613 edges,205,,1.0,200
20,DiGraph with 900 nodes and 613 edges,206,,1.0,201
20,DiGraph with 900 nodes and 613 edges,207,,1.0,202
21,DiGraph with 641 nodes and 518 edges,232,207.0,0.9986,202
22,DiGraph with 1763 nodes and 1537 edges,208,232.0,0.9992,202
20,DiGraph with 900 nodes and 613 edges,208,,1.0,203
20,DiGraph with 900 nodes and 613 edges,209,,1.0,204
21,DiGraph with 641 nodes and 518 edges,216,209.0,0.8504,204
22,DiGraph with 1763 nodes and 1537 edges,201,216.0,0.872,204
20,DiGraph with 900 nodes and 613 edges,210,,1.0,205
21,DiGraph with 641 nodes and 518 edges,173,210.0,0.9639,205
22,DiGraph with 1763 nodes and 1537 edges,418,173.0,0.85,205
20,DiGraph with 900 nodes and 613 edges,211,,1.0,206
21,DiGraph with 641 nodes and 518 edges,208,211.0,0.9685,206
22,DiGraph with 1763 nodes and 1537 edges,102,208.0,0.9388,206
20,DiGraph with 900 nodes and 613 edges,212,,1.0,207
20,DiGraph with 900 nodes and 613 edges,213,,1.0,208
21,DiGraph with 641 nodes and 518 edges,92,213.0,0.8113,208
22,DiGraph with 1763 nodes and 1537 edges,145,92.0,0.9543,208
20,DiGraph with 900 nodes and 613 edges,214,,1.0,209
20,DiGraph with 900 nodes and 613 edges,215,,1.0,210
20,DiGraph with 900 nodes and 613 edges,216,,1.0,211
20,DiGraph with 900 nodes and 613 edges,217,,1.0,212
21,DiGraph with 641 nodes and 518 edges,34,217.0,0.754,212
22,DiGraph with 1763 nodes and 1537 edges,121,34.0,0.6425,212
23,DiGraph with 1187 nodes and 1046 edges,82,121.0,0.7143,212
24,DiGraph with 1126 nodes and 961 edges,11,82.0,0.7897,212
20,DiGraph with 900 nodes and 613 edges,218,,1.0,213
20,DiGraph with 900 nodes and 613 edges,219,,1.0,214
21,DiGraph with 641 nodes and 518 edges,142,219.0,0.7713,214
22,DiGraph with 1763 nodes and 1537 edges,74,142.0,0.8559,214
23,DiGraph with 1187 nodes and 1046 edges,70,74.0,0.8748,214
24,DiGraph with 1126 nodes and 961 edges,249,70.0,0.8381,214
20,DiGraph with 900 nodes and 613 edges,220,,1.0,215
20,DiGraph with 900 nodes and 613 edges,221,,1.0,216
20,DiGraph with 900 nodes and 613 edges,222,,1.0,217
20,DiGraph with 900 nodes and 613 edges,223,,1.0,218
20,DiGraph with 900 nodes and 613 edges,224,,1.0,219
21,DiGraph with 641 nodes and 518 edges,134,224.0,0.9807,219
20,DiGraph with 900 nodes and 613 edges,225,,1.0,220
21,DiGraph with 641 nodes and 518 edges,161,225.0,0.9528,220
20,DiGraph with 900 nodes and 613 edges,226,,1.0,221
21,DiGraph with 641 nodes and 518 edges,64,226.0,0.831,221
22,DiGraph with 1763 nodes and 1537 edges,160,64.0,0.8942,221
20,DiGraph with 900 nodes and 613 edges,227,,1.0,222
20,DiGraph with 900 nodes and 613 edges,228,,1.0,223
21,DiGraph with 641 nodes and 518 edges,189,228.0,0.9983,223
20,DiGraph with 900 nodes and 613 edges,229,,1.0,224
21,DiGraph with 641 nodes and 518 edges,149,229.0,0.9939,224
22,DiGraph with 1763 nodes and 1537 edges,330,149.0,0.9903,224
20,DiGraph with 900 nodes and 613 edges,230,,1.0,225
21,DiGraph with 641 nodes and 518 edges,48,230.0,0.9211,225
22,DiGraph with 1763 nodes and 1537 edges,399,48.0,0.9966,225
20,DiGraph with 900 nodes and 613 edges,231,,1.0,226
20,DiGraph with 900 nodes and 613 edges,232,,1.0,227
20,DiGraph with 900 nodes and 613 edges,233,,1.0,228
20,DiGraph with 900 nodes and 613 edges,234,,1.0,229
21,DiGraph with 641 nodes and 518 edges,180,234.0,0.8336,229
20,DiGraph with 900 nodes and 613 edges,235,,1.0,230
20,DiGraph with 900 nodes and 613 edges,236,,1.0,231
21,DiGraph with 641 nodes and 518 edges,212,236.0,0.9326,231
20,DiGraph with 900 nodes and 613 edges,237,,1.0,232
21,DiGraph with 641 nodes and 518 edges,27,237.0,0.8758,232
22,DiGraph with 1763 nodes and 1537 edges,508,27.0,0.9456,232
23,DiGraph with 1187 nodes and 1046 edges,171,508.0,0.8824,232
20,DiGraph with 900 nodes and 613 edges,238,,1.0,233
21,DiGraph with 641 nodes and 518 edges,203,238.0,0.9075,233
22,DiGraph with 1763 nodes and 1537 edges,282,203.0,0.9105,233
20,DiGraph with 900 nodes and 613 edges,239,,1.0,234
21,DiGraph with 641 nodes and 518 edges,139,239.0,0.843,234
22,DiGraph with 1763 nodes and 1537 edges,353,139.0,0.8844,234
23,DiGraph with 1187 nodes and 1046 edges,92,353.0,0.808,234
24,DiGraph with 1126 nodes and 961 edges,220,92.0,0.8539,234
20,DiGraph with 900 nodes and 613 edges,240,,1.0,235
20,DiGraph with 900 nodes and 613 edges,241,,1.0,236
20,DiGraph with 900 nodes and 613 edges,242,,1.0,237
21,DiGraph with 641 nodes and 518 edges,39,242.0,0.9659,237
20,DiGraph with 900 nodes and 613 edges,243,,1.0,238
21,DiGraph with 641 nodes and 518 edges,15,243.0,0.8072,238
22,DiGraph with 1763 nodes and 1537 edges,411,15.0,0.9241,238
20,DiGraph with 900 nodes and 613 edges,244,,1.0,239
20,DiGraph with 900 nodes and 613 edges,245,,1.0,240
21,DiGraph with 641 nodes and 518 edges,94,245.0,0.9044,240
22,DiGraph with 1763 nodes and 1537 edges,224,94.0,0.9135,240
20,DiGraph with 900 nodes and 613 edges,246,,1.0,241
20,DiGraph with 900 nodes and 613 edges,247,,1.0,242
20,DiGraph with 900 nodes and 613 edges,248,,1.0,243
20,DiGraph with 900 nodes and 613 edges,249,,1.0,244
20,DiGraph with 900 nodes and 613 edges,250,,1.0,245
20,DiGraph with 900 nodes and 613 edges,251,,1.0,246
20,DiGraph with 900 nodes and 613 edges,252,,1.0,247
20,DiGraph with 900 nodes and 613 edges,253,,1.0,248
21,DiGraph with 641 nodes and 518 edges,114,253.0,0.7696,248
